id	name	description	microscopy	celltype	component	doi	organism
1	221	Red blood cells (erythrocytes). This image of human red blood cells obtained by scanning electron microscopy, revealing their characteristic biconcave shape.	scanning electron microscopy (SEM)	erythrocyte	None	doi:10.7295/W9CIL221	Homo sapiens
2	12621	Chick Chorioallantoic Membrane (CAM).  This scanning electron micrograph shows a section through part of a chick chorioallantoic membrane. A blood vessel has been fractured in the middle of CAM revealing red blood cells packed within the vessel. The sample was fixed using glutaraldehyde and osmium tetroxide, dehydrated in ethanol, critically point dried, coated with gold, and examined in a Phillips XL-30 FEG scanning electron microscope.	scanning electron microscopy (SEM)	blood cell	None	doi:10.7295/W9CIL12621	Gallus gallus domesticu
3	40627	Single frog sacculus hair bundle imaged with field-emission scanning electron microscope.	scanning electron microscopy (SEM)	auditory hair cell	cell surface	doi:10.7295/W9CIL40627	Rana catesbeiana
4	41311	Scanning electron microscope image of Penta lanceolata stigma (receptive surface for pollen).	scanning electron microscopy (SEM)	None	cell surface	doi:10.7295/W9CIL41311	Penta lanceolata
5	810	During hippocampal neuron development in vitro, N-cadherin becomes selectively localized to excitatory synapses. This image shows immunolocalization of N-cadherin (red), colocalized at synapses that are also immunopositive for the presynaptic glutamate transporters V-glut 1 and 2 (green) and for the postsynaptic NMDA receptor (blue). This image accompanies 3 B&W raw images in this image group.  Individual fluorescent images were acquired using a Nikon Diaphot 300 with a 60X objective. Preparation was fixed in 4% paraformaldehyde and permeabilized with .01% TritonX-100.	fluorescence microscopy	multipolar neuron	excitatory synapse	doi:10.7295/W9CIL810	Rattus
6	214	A colorized scanning electron microscope picture of a nerve ending that has been broken open to reveal the synaptic vesicles (orange and blue) beneath the cell membrane.	scanning electron microscopy (SEM)	neuron	synaptic vesicle	doi:10.7295/W9CIL214	None
7	11094	Scanning electron micrograph showing in vitro fertilization of a hamster oocyte.  The sperm head, near the center of the field of view, is engulfed by the microvilli on the surface of the oocyte membrane; the sperm tail extends to the left.  Image by David Phillips, Figure 32 from Chapter 2 (Specializations of the Free Surface) of "The Cell, 2nd Ed." by Don W. Fawcett M.D.  . A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.	scanning electron microscopy (SEM)	oocyte	microvillus membrane	doi:10.7295/W9CIL11094	Phodopus
8	11105	Scanning electron micrograph of the surface of a peritoneal mast cell from mouse shows undulating folds, and few microvilli.  The membrane folds could be misinterpreted for microvilli if analyzed in thin sections using a transmission electron microscope.  Image by Emma Shelton, Figure 37 from Chapter 2 (Specializations Of The Free Surface) of "The Cell, 2nd Ed." by Don W. Fawcett M.D. A PDF copy of the accompanying chapter is available on the ASCB"s BioEDUCATE website.	scanning electron microscopy (SEM)	mast cell	cell surface	doi:10.7295/W9CIL11105	Mus musculus
9	11108	Scanning electron micrograph of the lumenal surface of the toad bladder shows the boundaries of four polygonal squamous epithelial cells surrounding a mitochondrial-rich cell bearing short globular microvilli. Boundaries between cells are demarcated by what appears to be a continuous ridge.  Image from Davis, Goodman, & Schuster (1974) J. Cell Biol. 61:544-547 and reprinted with permission as Figure 39 from Chapter 2 (Specializations of the Free Surface) of "The Cell, 2nd Ed." by Don W. Fawcett M.D.  A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.	scanning electron microscopy (SEM)	squamous epithelial cell	cell surface	doi:10.7295/W9CIL11108	Bufo
10	11115	Scanning electron micrograph of the epidermal surface of lamprey larvae.  A row of microvilli outline the polygonal borders between cells, while short microvilli cover the external surface in a reticular network.  Image from Fahrenbach, W. (1975) J. Invest. Dermatol. 65:39-44, reprinted with permission as Figure 43 from Chapter 2 (Specializations of the Free Surface) of "The Cell, 2nd Ed." by Don W. Fawcett M.D.   A PDF copy of the accompanying chapter is available on the ASCB’s BioEDUCATE website.	scanning electron microscopy (SEM)	epidermal cell	cell surface	doi:10.7295/W9CIL11115	Entosphenus tridentatus
